,OBJECTID,GEOID10,GEOID20,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,CSA,CSA_Name,CBSA,CBSA_Name,CBSA_POP,CBSA_EMP,CBSA_WRK,Ac_Total,Ac_Water,Ac_Land,Ac_Unpr,TotPop,CountHU,HH,P_WrkAge,AutoOwn0,Pct_AO0,AutoOwn1,Pct_AO1,AutoOwn2p,Pct_AO2p,Workers,R_LowWageWk,R_MedWageWk,R_HiWageWk,R_PCTLOWWAGE,TotEmp,E5_Ret,E5_Off,E5_Ind,E5_Svc,E5_Ent,E8_Ret,E8_off,E8_Ind,E8_Svc,E8_Ent,E8_Ed,E8_Hlth,E8_Pub,E_LowWageWk,E_MedWageWk,E_HiWageWk,E_PctLowWage,D1A,D1B,D1C,D1C5_RET,D1C5_OFF,D1C5_IND,D1C5_SVC,D1C5_ENT,D1C8_RET,D1C8_OFF,D1C8_IND,D1C8_SVC,D1C8_ENT,D1C8_ED,D1C8_HLTH,D1C8_PUB,D1D,D1_FLAG,D2A_JPHH,D2B_E5MIX,D2B_E5MIXA,D2B_E8MIX,D2B_E8MIXA,D2A_EPHHM,D2C_TRPMX1,D2C_TRPMX2,D2C_TRIPEQ,D2R_JOBPOP,D2R_WRKEMP,D2A_WRKEMP,D2C_WREMLX,D3A,D3AAO,D3AMM,D3APO,D3B,D3BAO,D3BMM3,D3BMM4,D3BPO3,D3BPO4,D4A,D4B025,D4B050,D4C,D4D,D4E,D5AR,D5AE,D5BR,D5BE,D5CR,D5CRI,D5CE,D5CEI,D5DR,D5DRI,D5DE,D5DEI,D2A_Ranked,D2B_Ranked,D3B_Ranked,D4A_Ranked,NatWalkInd,Shape_Length,Shape_Area
132479,132480,295101000000.0,295101000000.0,29,510,111200,2,476.0,"St. Louis-St. Charles-Farmington, MO-IL",41180.0,"St. Louis, MO-IL",2805551,1358210,1335660,169.1886287,0.0,169.1886287,164.51502,749,398.0,222.0,0.686,69,0.310810811,120,0.540540541,33,0.148648649,321,123,135,63,0.38317757,397,18,5,4,369,1,18,5,4,7,1,338,24,0,157,70,170,0.395465995,2.419231995,4.552775789,2.413153522,0.109412502,0.030392362,0.024313889,2.242956297,0.006078472,0.109412502,0.030392362,0.024313889,0.042549306,0.006078472,2.054523654,0.145883336,0.0,4.832385517,0,1.788288288,0.201769025,0.201769025,0.326098231,0.305157824,0.480479841,0.340302042,0.376119454,0.451668327,0.692844677,0.894150418,0.808564232,0.825772664,21.35005498,0.0,5.807177308,15.54287767,118.5517026,0.0,22.69656081,22.69656081,52.95864189,45.39312162,131.43,0.0,0.0,7.0,26.47932095,0.009345794,180108,131762,126372,66689,0.000881189,0.812365814,0.000818561,0.84562561,0.001296712,0.28577502,0.001101397,0.239435457,10,4,16,20,14.33333333,5244.596172,684698.7334
132480,132481,295101000000.0,295101000000.0,29,510,111300,2,476.0,"St. Louis-St. Charles-Farmington, MO-IL",41180.0,"St. Louis, MO-IL",2805551,1358210,1335660,145.6822528,0.0,145.6822528,138.54814,766,602.0,498.0,0.518,239,0.479919679,198,0.397590361,61,0.12248996,331,149,136,46,0.450151057,140,0,31,0,105,4,0,31,0,0,4,40,65,0,31,61,48,0.221428571,4.345060136,5.528764226,1.010479101,0.0,0.223748944,0.0,0.757859326,0.028870831,0.0,0.223748944,0.0,0.0,0.028870831,0.288708315,0.469151011,0.0,5.355539237,0,0.281124498,0.59273037,0.404601422,0.829244661,0.552829774,0.482642963,0.442500308,0.492627961,0.573355119,0.309050773,0.59447983,2.364285714,0.255563156,24.47882424,0.0,11.82018807,12.65863617,95.2077534,0.0,30.75185833,39.53810357,39.53810357,8.786245239,413.06,0.0,0.0,8.67,38.08837311,0.011318538,172512,126590,126127,66675,0.000844025,0.778104534,0.00078643,0.812432613,0.001294198,0.285220982,0.001101166,0.239385192,10,10,14,16,13.33333333,3493.753083,589568.6105
132517,132518,295101000000.0,295101000000.0,29,510,116302,1,476.0,"St. Louis-St. Charles-Farmington, MO-IL",41180.0,"St. Louis, MO-IL",2805551,1358210,1335660,28.2988804,0.0,28.2988804,28.2988804,1043,472.0,404.0,0.601,159,0.393564356,132,0.326732673,113,0.27970297,380,117,216,47,0.307894737,26,1,0,0,11,14,1,0,0,0,14,0,11,0,23,3,0,0.884615385,16.67910509,36.85658179,0.918764263,0.035337087,0.0,0.0,0.388707958,0.494719219,0.035337087,0.0,0.0,0.0,0.494719219,0.0,0.388707958,0.0,17.59786935,0,0.064356436,0.748736859,0.511092418,0.748736859,0.395573282,0.200521825,0.33623081,0.374319962,0.027182515,0.048643592,0.128078818,14.61538462,1.22156e-06,22.35035727,0.0,1.021910887,21.32844638,158.3553814,0.0,45.23147142,0.0,90.46294284,67.84720713,266.88,0.0,0.0,9.0,203.5416214,0.008628955,153992,126337,226562,156388,0.000753415,0.694571238,0.000784858,0.810808903,0.002324769,0.512342608,0.002582813,0.561484386,3,5,18,18,13.33333333,1508.378014,114525.6044
132518,132519,295101000000.0,295101000000.0,29,510,116301,2,476.0,"St. Louis-St. Charles-Farmington, MO-IL",41180.0,"St. Louis, MO-IL",2805551,1358210,1335660,46.1958392,0.0,46.1958392,46.1958392,1546,630.0,621.0,0.722,0,0.0,260,0.418679549,361,0.581320451,581,127,187,267,0.21858864,28,4,2,3,19,0,4,2,3,18,0,0,1,0,7,20,1,0.25,13.63759185,33.46621745,0.606115193,0.086587885,0.043293942,0.064940914,0.411292453,0.0,0.086587885,0.043293942,0.064940914,0.389645481,0.0,0.0,0.021646971,0.0,14.24370704,0,0.045088567,0.698936206,0.602030879,0.688965599,0.533242861,0.136452027,0.195455392,0.213735668,0.000134443,0.035578145,0.091954023,20.75,2.64657e-09,17.36181438,0.0,2.60206198,14.7597524,23.09472062,0.0,0.0,0.0,13.85406156,13.85406156,536.45,0.0,0.0,7.67,106.2606521,0.00496119,149428,116080,212088,144498,0.000731085,0.673985603,0.000721138,0.74498126,0.00217625,0.479611405,0.002386445,0.518795373,2,9,7,15,9.166666667,1845.661519,186950.7836
132519,132520,295101000000.0,295101000000.0,29,510,116400,1,476.0,"St. Louis-St. Charles-Farmington, MO-IL",41180.0,"St. Louis, MO-IL",2805551,1358210,1335660,45.125402,0.0,45.125402,45.05315,970,528.0,378.0,0.657,132,0.349206349,176,0.465608466,70,0.185185185,351,142,148,61,0.404558405,56,11,0,9,33,3,11,0,9,15,3,0,18,0,24,20,12,0.428571429,11.71949131,21.53012608,1.242976351,0.244156069,0.0,0.199764056,0.732468207,0.066588019,0.244156069,0.0,0.199764056,0.332940094,0.066588019,0.0,0.399528113,0.0,12.96246766,0,0.148148148,0.780436691,0.672231576,0.924508037,0.715547062,0.325669508,0.430575553,0.467343056,0.143021658,0.109161793,0.275184275,6.267857143,0.005154644,23.45014953,0.0,0.625748168,22.82440136,122.9214534,0.0,0.0,14.18269914,14.18269914,99.27889396,0.0,0.0,0.0,10.0,141.8269914,0.010309278,178368,141300,256269,178530,0.000872676,0.804517654,0.000877815,0.906838836,0.002629594,0.579521402,0.002948498,0.640981452,5,16,16,20,15.5,1810.225525,182619.087
132520,132521,295101000000.0,295101000000.0,29,510,116400,3,476.0,"St. Louis-St. Charles-Farmington, MO-IL",41180.0,"St. Louis, MO-IL",2805551,1358210,1335660,40.1796955,0.0,40.1796955,40.1085,534,426.0,236.0,0.732,37,0.156779661,138,0.584745763,61,0.258474576,413,178,179,56,0.430992736,42,0,0,18,24,0,0,0,18,5,0,0,19,0,16,22,4,0.380952381,10.62119002,13.31388608,1.04715958,0.0,0.0,0.448782677,0.598376903,0.0,0.0,0.0,0.448782677,0.124661855,0.0,0.0,0.473715048,0.0,11.6683496,0,0.177966102,0.985228136,0.424314663,0.887784539,0.469035067,0.480378359,0.325794413,0.329538768,0.097470537,0.145833333,0.184615385,9.833333333,0.000145791,23.56191622,0.0,0.050642717,23.51127351,153.9961894,0.0,15.92844326,31.85688652,47.78532978,79.6422163,119.36,0.0,0.0,9.0,143.3559893,0.016853933,172928,140620,244833,168060,0.000846061,0.779980876,0.00087359,0.902474714,0.002512249,0.553660268,0.002775581,0.603390707,10,7,18,20,15.5,2019.336017,162606.5042
132521,132522,295101000000.0,295101000000.0,29,510,116400,5,476.0,"St. Louis-St. Charles-Farmington, MO-IL",41180.0,"St. Louis, MO-IL",2805551,1358210,1335660,34.5754675,0.0,34.5754675,34.5754675,902,515.0,429.0,0.501,220,0.512820513,113,0.263403263,96,0.223776224,289,109,139,41,0.37716263,147,13,11,2,30,91,13,11,2,5,91,0,25,0,99,42,6,0.673469388,14.89495406,26.08786128,4.251569411,0.375989132,0.31814465,0.057844482,0.867667227,2.631923921,0.375989132,0.31814465,0.057844482,0.144611204,2.631923921,0.0,0.723056022,0.0,19.14652347,0,0.342657343,0.676122177,0.676122177,0.658641939,0.567521572,0.471992387,0.595451295,0.660957486,0.917110517,0.280266921,0.674311927,1.965986395,0.380607585,28.12371014,0.0,0.01646154,28.1072486,160.4467098,0.0,0.0,18.51023417,74.04093668,92.55117086,309.8,0.0,0.0,13.0,240.6330442,0.014412417,162538,131019,227747,158697,0.000795227,0.733117434,0.000813945,0.840857165,0.002336928,0.515022342,0.002620947,0.569774456,9,10,18,18,15.16666667,1501.889738,139925.1498
132522,132523,295101000000.0,295101000000.0,29,510,116400,6,476.0,"St. Louis-St. Charles-Farmington, MO-IL",41180.0,"St. Louis, MO-IL",2805551,1358210,1335660,54.9775261,0.0,54.9775261,54.96939,597,373.0,254.0,0.61,119,0.468503937,112,0.440944882,23,0.090551181,320,110,157,53,0.34375,232,164,7,8,47,6,164,7,8,18,6,0,29,0,93,97,42,0.400862069,6.785594674,10.86058987,4.220530735,2.983478623,0.1273436,0.145535543,0.855021313,0.109151657,2.983478623,0.1273436,0.145535543,0.327454971,0.109151657,0.0,0.527566342,0.0,11.00612541,0,0.913385827,0.549829403,0.549829403,0.569126684,0.490390379,0.622042998,0.654298177,0.72101557,0.619568914,0.559710495,0.84057971,1.379310345,0.6843332,29.53828507,0.0,9.455660393,20.08262467,209.5867315,0.0,46.56448155,69.84672233,93.12896311,46.56448155,0.0,0.0,0.0,10.33,120.2527736,0.017303183,166801,133388,256294,178393,0.000816084,0.752345427,0.000828662,0.856060995,0.002629851,0.579577936,0.002946235,0.640489577,14,8,19,20,16.66666667,1948.719444,222491.2347
132523,132524,295101000000.0,295101000000.0,29,510,116500,2,476.0,"St. Louis-St. Charles-Farmington, MO-IL",41180.0,"St. Louis, MO-IL",2805551,1358210,1335660,68.9320044,0.0,68.9320044,68.9320044,836,563.0,328.0,0.652,105,0.320121951,150,0.457317073,73,0.222560976,385,109,175,101,0.283116883,195,12,0,36,137,10,12,0,36,50,10,66,21,0,32,66,97,0.164102564,8.167468869,12.12789338,2.828874653,0.174084594,0.0,0.522253782,1.987465782,0.145070495,0.174084594,0.0,0.522253782,0.725352475,0.145070495,0.957465267,0.30464804,0.0,10.99634352,0,0.594512195,0.637545858,0.549152112,0.888197764,0.765319304,0.61511427,0.563459696,0.602321052,0.755578729,0.378273521,0.672413793,1.974358974,0.377434221,28.54008065,0.0,5.552326732,22.98775391,185.6995181,0.0,18.56902336,55.70707008,9.28451168,111.4141402,193.12,0.0,0.0,7.0,64.99158176,0.008373206,179904,140421,256368,178628,0.000880191,0.811445685,0.000872354,0.901197566,0.00263061,0.579745278,0.002950116,0.641333305,14,18,19,19,18.0,2169.751531,278963.8443
132524,132525,295101000000.0,295101000000.0,29,510,116500,5,476.0,"St. Louis-St. Charles-Farmington, MO-IL",41180.0,"St. Louis, MO-IL",2805551,1358210,1335660,40.6869918,0.0,40.6869918,40.30581,687,344.0,278.0,0.607,0,0.0,84,0.302158273,194,0.697841727,370,104,119,147,0.281081081,301,9,14,0,264,14,9,14,0,83,14,46,135,0,56,130,115,0.186046512,8.534749705,17.04468909,7.467905992,0.22329287,0.347344465,0.0,6.549924192,0.347344465,0.22329287,0.347344465,0.0,2.059256469,0.347344465,1.14127467,3.349393053,0.0,16.0026557,0,1.082733813,0.364558492,0.314013593,0.777049811,0.669548208,0.593429887,0.47335292,0.526975642,0.516230982,0.609311741,0.897168405,1.22923588,0.795140953,25.05617183,0.0,8.211559973,16.84461186,136.3462806,0.0,62.91937267,31.45968634,0.0,62.91937267,277.61,0.0,0.0,7.67,120.6478971,0.011164483,184754,140411,212267,144734,0.00090392,0.833321306,0.000872292,0.901133388,0.002178087,0.480016191,0.002390343,0.51964269,13,14,17,18,16.16666667,1610.434029,164659.2223
