FIPS Code,number_jobs_commutable_by_vehicle_45_minutes,number_jobs_commutable_by_transit_45_minutes,meters_to_nearest_transit_stop,jobs_commute_ratio_tract,jobs_commute_ratio_city,jobs_commute_ratio_adjusted,ratio_quantile
29510101100,302929,46842,1471.21,6.467038128175569,0.9382031748733098,5.528834953302259,4
29510101200,458072,138415,-98750.42,3.30941010728606,0.9382031748733098,2.3712069324127505,4
29510101300,588089,490667,3358.17,1.1985501368545266,0.9382031748733098,0.26034696198121676,3
29510101400,455249,418477,1152.03,1.0878710180009894,0.9382031748733098,0.14966784312767956,3
29510101500,576362,548019,1256.62,1.051719009742363,0.9382031748733098,0.11351583486905314,2
29510101800,585847,645857,602.1700000000001,0.9070846952189107,0.9382031748733098,-0.031118479654399178,2
29510102100,466924,484082,1311.6200000000001,0.9645555918212204,0.9382031748733098,0.026352416947910573,2
29510102200,1129728,905828,3018.86,1.2471771682924353,0.9382031748733098,0.30897399341912546,3
29510102300,306104,175211,1528.87,1.7470592599779695,0.9382031748733098,0.8088560851046597,4
29510102400,480262,615691,679.95,0.7800373888850088,0.9382031748733098,-0.158165785988301,1
29510102500,300627,371606,1084.96,0.8089939344359348,0.9382031748733098,-0.12920924043737503,1
29510103100,544393,423650,665.2,1.2850064912073647,0.9382031748733098,0.3468033163340548,3
29510103400,353420,247007,1453.77,1.430809653167724,0.9382031748733098,0.49260647829441406,4
29510103600,365878,221155,1067.53,1.6543962379326718,0.9382031748733098,0.7161930630593619,4
29510103700,548111,426318,969.63,1.2856858026168259,0.9382031748733098,0.347482627743516,3
29510103800,926372,859943,1890.97,1.0772481431908858,0.9382031748733098,0.13904496831757596,2
29510104200,860461,387136,1636.17,2.222632356587866,0.9382031748733098,1.2844291817145561,4
29510104500,608779,346728,1059.48,1.7557826307653261,0.9382031748733098,0.8175794558920163,4
29510105198,751294,806084,383.56,0.9320294162891213,0.9382031748733098,-0.00617375858418856,2
29510105200,358285,421323,472.07,0.8503808242132521,0.9382031748733098,-0.08782235066005772,1
29510105300,517045,607059,1236.51,0.8517211671353196,0.9382031748733098,-0.0864820077379902,1
29510105400,349930,310774,1024.62,1.1259950961148617,0.9382031748733098,0.18779192124155186,3
29510105500,524238,481029,1087.65,1.0898261851156583,0.9382031748733098,0.15162301024234848,3
29510106100,696278,628940,1422.93,1.1070658568384901,0.9382031748733098,0.16886268196518028,3
29510106200,504602,482008,1323.68,1.0468747406682046,0.9382031748733098,0.10867156579489479,2
29510106300,653534,605310,1161.4099999999999,1.079668269151344,0.9382031748733098,0.1414650942780341,2
29510106400,662511,604737,1125.2,1.0955357452909282,0.9382031748733098,0.1573325704176184,3
29510106500,498030,450113,1067.53,1.1064554900658279,0.9382031748733098,0.16825231519251804,3
29510106600,513016,471757,742.99,1.0874581617230905,0.9382031748733098,0.14925498684978067,3
29510106700,622160,875521,1903.04,0.710616878407257,0.9382031748733098,-0.22758629646605288,1
29510107200,304391,161775,973.65,1.8815700819038788,0.9382031748733098,0.9433669070305689,4
29510107300,1042921,753064,1707.25,1.3849035407349177,0.9382031748733098,0.4467003658616079,4
29510107400,427929,267075,1414.88,1.602280258354395,0.9382031748733098,0.6640770834810851,4
29510107500,596450,425187,1133.24,1.4027945351104338,0.9382031748733098,0.464591360237124,4
29510107600,442013,302192,1157.3899999999999,1.4626892836342458,0.9382031748733098,0.5244861087609359,4
29510108100,432331,240714,1425.6,1.7960359596865991,0.9382031748733098,0.8578327848132893,4
29510108200,277208,277932,559.25,0.9973950462703107,0.9382031748733098,0.059191871397000884,2
29510108300,408403,684184,775.17,0.5969198344305041,0.9382031748733098,-0.3412833404428057,0
29510109600,823681,507592,1110.44,1.6227225803401157,0.9382031748733098,0.6845194054668059,4
29510109700,669799,556815,1365.27,1.2029112003088998,0.9382031748733098,0.2647080254355899,3
29510110100,513422,654234,776.51,0.7847681410626779,0.9382031748733098,-0.15343503381063195,1
29510110200,667761,696968,973.65,0.9580942023163187,0.9382031748733098,0.019891027443008857,2
29510110300,695140,977269,816.75,0.7113087594101521,0.9382031748733098,-0.2268944154631577,1
29510110400,509467,723443,996.46,0.7042254883936951,0.9382031748733098,-0.2339776864796147,0
29510110500,348880,359940,599.48,0.9692726565538701,0.9382031748733098,0.03106948168056023,2
29510111100,362664,470504,753.71,0.7707989730161698,0.9382031748733098,-0.16740420185714,1
29510111200,353073,284915,527.06,1.2392222241721216,0.9382031748733098,0.30101904929881174,3
29510111300,348882,267773,751.02,1.3029020849749602,0.9382031748733098,0.36469891010165034,3
29510111400,356128,489876,622.28,0.7269758061223657,0.9382031748733098,-0.21122736875094417,1
29510111500,351524,517862,435.86,0.6787985988545211,0.9382031748733098,-0.25940457601878875,0
29510112100,555583,488393,771.1400000000001,1.1375736343477487,0.9382031748733098,0.19937045947443888,3
29510112200,516377,461478,626.3,1.1189634175410312,0.9382031748733098,0.1807602426677214,3
29510112300,504081,462617,1154.71,1.0896292181221183,0.9382031748733098,0.15142604324880848,3
29510112400,523405,573940,1137.27,0.9119507265567829,0.9382031748733098,-0.026252448316526955,2
29510113500,772702,436890,3048.37,1.7686419922634988,0.9382031748733098,0.830438817390189,4
29510114101,668900,439817,871.73,1.520859812149144,0.9382031748733098,0.582656637275834,4
29510114102,683450,425827,1166.77,1.6049945165524966,0.9382031748733098,0.6667913416791867,4
29510114200,840610,546888,2316.12,1.537078890010386,0.9382031748733098,0.5988757151370762,4
29510114300,994398,758543,2412.67,1.3109316149512948,0.9382031748733098,0.372728440077985,3
